LName,BankCode,BankName,BankId,CityCode,CityName,ProvinceName,ProvinceCode
中国工商银行股份有限公司北京大栅栏支行,102100004880,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京昌平支行,102100004898,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京三家店支行,102100004902,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京陶然亭支行,102100004919,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京阜外大街支行,102100004927,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京四道口支行,102100004935,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京十里河支行,102100004943,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行总行营业部,102100004951,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京海淀支行营业部,102100004960,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京马家堡支行,102100004978,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京九棵树支行,102100004986,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司牡丹卡中心,102100005001,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京体育场支行,102100005307,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京运河迎宾支行,102100005331,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京东长安街支行,102100005340,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京首都体育馆支行,102100005374,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京方庄支行,102100005382,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京经济技术开发区宏达北路支行,102100005905,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京迎宾支行,102100005921,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京正阳门支行　,102100005930,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京车站路支行,102100006053,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京密云开发区支行,102100006061,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京日坛路支行,102100006295,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京玉泉路支行,102100006300,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京北京站支行,102100006471,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京安贞支行,102100006480,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京小汤山支行,102100006498,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京西直门支行,102100006502,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京西客站支行,102100006609,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京滨河支行,102100006617,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京雁栖支行,102100006633,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京世纪金源支行,102100006990,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京千禧支行,102100007023,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京市分行票据融资部,102100007777,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京双清路支行,102100007816,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京白广路支行,102100008018,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京太平路支行,102100008026,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京大都市支行,102100008034,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京新世界支行,102100008042,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京四元桥支行,102100008059,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京自贸试验区国际商务服务片区支行,102100008067,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京东城支行,102100008075,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京翠微路支行,102100008091,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行北京长安支行建国门内大街分理处,102100008333,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京天竺支行,102100009019,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京回龙观支行,102100009027,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京星城支行,102100009035,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京马连道茶城支行,102100009213,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京中关村分行,102100009561,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京中关村支行成府路分理处,102100009570,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京天通苑支行,102100009588,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京世纪村支行,102100009596,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京祥普支行,102100009607,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京九龙山支行,102100009623,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京世纪坛支行,102100009631,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京新兴支行,102100009640,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京南湖中园支行,102100009658,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京国展支行,102100009666,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京南礼士路支行营业室,102100009682,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京恋日嘉园支行,102100009699,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京中关村支行建材城东路分理处,102100009703,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京北苑家园支行,102100009746,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京光机电支行,102100009754,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京东方庄支行,102100009762,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京金地格林小镇支行,102100009779,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京公益桥支行,102100009787,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京中航油支行,102100009795,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京亚运村支行,102100009818,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京官园支行,102100009826,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行北京市分行清算中心,102100009980,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司票据营业部北京分部,102100010022,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司阿根廷人民币清算行,102100011308,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京经济技术开发区天宝园支行,102100014355,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京万寿支行,102100014736,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京天秀支行,102100014744,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京媒体村支行,102100014769,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京花园东路支行,102100014816,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京京奥嘉园支行,102100014857,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京回龙观西区支行,102100014873,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京岳各庄支行,102100014904,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京航天支行,102100015155,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京新发地支行,102100015171,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京永丰支行,102100015180,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京荣华中路支行,102100017005,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京万寿路南口支行,102100018643,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京百旺新城支行,102100018651,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京双榆树支行,102100020028,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京福宜范家支行,102100020044,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京西直门内支行,102100020085,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京沙窝路支行,102100020093,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京甘家口支行,102100020124,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京和平门内支行,102100020165,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京未来科学城支行,102100020212,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京海运仓支行,102100020270,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京交道口支行,102100020288,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京和平里北街支行,102100020307,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京北三环支行,102100020331,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京怡海花园支行,102100020358,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京朗琴园支行,102100020420,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京白纸坊支行,102100020446,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京星火西路支行,102100020454,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京新源里支行,102100020462,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京白家庄支行,102100020487,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京车公庄支行,102100020495,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京中海凯旋支行,102100020500,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京搜宝商务中心支行,102100020518,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京和平街支行,102100020534,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京丽泽金融商务区支行,102100020567,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京三里河支行,102100020606,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京南湖东园支行,102100020614,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京方恒支行,102100020647,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京大山子支行,102100020655,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京南十里居支行,102100020671,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京团结湖支行,102100020680,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京科学院支行,102100020698,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京平安支行,102100020735,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京西四环支行,102100020778,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京玉东支行,102100020786,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京知春路支行,102100020794,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京北京大学支行,102100020833,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京马神庙支行,102100020841,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京麦子店支行,102100020850,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京光华路支行,102100020868,中国工商银行,102100099996,1000,北京市,北京市,11
中国工商银行股份有限公司北京万国城支行,102100020913,中国工商银行,102100099996,1000,北京市,北京市,11
